batch_idx,rank,Q,R,W,M1,M2,theta_true,theta_est,pred_mu,pred_sigma,actual_y
0,1,86,62,10,3,3,11.5,9.86378415480738,1000190.25,0.0,1000190.25
0,2,96,69,11,2,3,11.5,9.86378415480738,996080.4375,0.0,996080.4375
0,3,78,82,10,3,3,11.5,9.86378415480738,993563.375,0.0,993563.375
0,4,82,52,10,3,3,11.5,9.86378415480738,991357.875,0.0,991357.875
1,1,80,96,10,3,3,18.86121593216773,14.893622350912791,1019068.1304664082,340952.63493479893,670665.1875
1,2,89,69,10,3,3,18.86121593216773,14.893622350912791,1012725.303268548,333731.2997535094,696006.9375
1,3,90,63,10,3,3,18.86121593216773,14.893622350912791,1010018.8364107818,332450.76856378757,695581.0625
1,4,78,82,10,3,3,18.86121593216773,14.893622350912791,1002939.5227096413,333545.070155562,683476.875
2,1,95,75,10,3,3,4.1387840678322725,12.005705610980302,867218.937667958,349475.7728364097,1197686.875
2,2,93,69,10,3,3,4.1387840678322725,12.005705610980302,864487.4950252853,347893.2561230805,1180089.25
2,3,95,89,11,3,3,4.1387840678322725,12.005705610980302,858675.1830962901,350439.90816391335,1215833.25
2,4,92,58,10,3,3,4.1387840678322725,12.005705610980302,860090.4268142269,346143.58655278466,1152071.0
