W,R,M1,M2,Q,NetRevenue,CustomerLbd,file_id
20,62,3,2,72,91225,6.0,1
16,120,2,3,138,549047,21.0,10
21,99,2,1,100,-460306,1.0,100
19,56,2,2,93,726439,17.0,1000
10,60,2,1,115,755626,15.0,1001
26,136,2,1,138,671305,16.0,1002
13,98,2,2,66,609539,20.0,1003
27,110,3,2,143,448122,25.0,1004
27,89,3,2,113,410554,28.0,1005
28,123,2,2,86,376103,30.0,1006
17,90,1,2,138,673635,17.0,1007
17,100,1,2,113,599386,19.0,1008
15,139,1,3,68,483353,24.0,1009
11,119,1,2,140,364124,29.0,101
14,114,2,2,132,475891,24.0,1010
30,80,3,2,91,829123,15.0,1011
17,119,2,2,52,475636,25.0,1012
26,113,2,3,65,497424,24.0,1013
25,79,2,1,126,564194,20.0,1014
29,63,2,1,130,492223,23.0,1015
16,121,2,1,142,-115647,5.0,1016
16,126,2,2,116,479230,24.0,1017
21,148,1,2,65,-96900,2.0,1018
12,86,3,1,150,858028,11.0,1019
25,128,3,2,129,683022,17.0,102
11,89,3,1,98,405040,28.0,1020
22,51,3,2,56,234167,11.0,1021
12,118,2,3,98,1572511,5.0,1022
21,132,3,3,109,543143,21.0,1023
19,110,2,3,63,1056789,6.0,1024
21,141,2,2,127,535873,5.0,1025
19,84,3,2,85,1125440,10.0,1026
12,110,1,1,107,587582,18.0,1027
18,75,2,2,132,485461,24.0,1028
21,128,3,3,122,866147,14.0,1029
26,121,2,2,60,538106,22.0,103
25,121,1,3,58,938940,13.0,1030
19,104,2,3,62,399860,29.0,1031
13,112,2,1,92,624021,18.0,1032
21,105,2,2,67,397859,29.0,1033
30,68,1,1,126,651816,16.0,1034
14,84,2,3,84,826040,15.0,1035
12,64,2,2,91,810697,6.0,1036
12,124,1,3,110,667462,4.0,1037
25,90,3,3,133,356883,30.0,1038
17,103,3,2,108,486981,24.0,1039
11,94,1,3,52,574907,21.0,104
16,56,1,3,146,328184,2.0,1040
26,87,3,2,102,450732,26.0,1041
27,67,2,2,98,533338,22.0,1042
11,115,2,2,102,998401,12.0,1043
16,87,1,1,144,353682,29.0,1044
22,89,1,2,75,924643,13.0,1045
27,79,3,3,124,508370,23.0,1046
28,58,3,2,82,429813,28.0,1047
24,78,2,3,134,483548,24.0,1048
13,132,2,1,50,142537,3.0,1049
23,127,1,2,136,486192,23.0,105
14,65,2,1,141,25697,3.0,1050
29,54,2,2,78,734248,17.0,1051
26,75,1,2,116,408971,28.0,1052
22,61,1,2,135,696537,17.0,1053
25,122,2,2,117,928899,6.0,1054
11,68,2,3,105,667505,18.0,1055
25,76,2,3,63,38084,7.0,1056
11,91,2,2,78,1077661,2.0,1057
11,106,2,2,132,997189,12.0,1058
26,142,1,3,111,-305450,6.0,1059
12,91,3,3,85,1288802,5.0,106
24,145,3,2,124,679926,17.0,1060
15,51,3,2,104,423495,28.0,1061
15,95,2,2,135,585326,20.0,1062
14,61,1,1,72,-111337,4.0,1063
14,78,1,2,84,486986,24.0,1064
29,104,3,1,125,-1048881,2.0,1065
11,93,2,1,125,234696,5.0,1066
12,110,3,3,112,386630,29.0,1067
17,91,2,3,128,1006808,12.0,1068
16,130,1,2,72,263136,6.0,1069
22,91,2,3,119,1150193,10.0,107
30,143,3,1,69,490454,23.0,1070
19,123,3,3,83,1510359,8.0,1071
27,133,1,3,135,345702,30.0,1072
20,97,1,1,88,455253,24.0,1073
30,114,1,3,56,872680,14.0,1074
24,53,1,2,65,-454391,6.0,1075
16,138,1,2,78,497365,23.0,1076
11,81,2,3,145,407378,27.0,1077
14,74,1,3,129,795144,15.0,1078
29,85,1,2,126,789890,15.0,1079
22,96,2,2,137,615167,19.0,108
20,91,1,1,60,-530626,1.0,1080
20,72,2,2,73,653200,8.0,1081
14,94,3,2,116,1141510,10.0,1082
15,108,2,2,58,1033808,12.0,1083
17,64,2,3,91,514181,23.0,1084
24,100,1,3,53,1152216,10.0,1085
28,143,2,3,123,1628326,7.0,1086
21,112,2,2,149,1057083,6.0,1087
27,68,2,2,106,716835,17.0,1088
22,81,2,2,98,293766,2.0,1089
17,67,2,2,102,537279,2.0,109
28,117,2,3,107,874900,14.0,1090
24,133,2,2,64,955750,13.0,1091
23,135,3,1,89,828524,13.0,1092
20,122,2,2,73,885430,14.0,1093
14,109,2,2,136,1127907,10.0,1094
21,142,3,3,75,655816,18.0,1095
26,52,3,2,140,871541,14.0,1096
27,146,2,2,144,1493864,7.0,1097
25,82,2,3,130,421357,2.0,1098
29,80,2,3,121,422634,27.0,1099
23,147,3,2,107,1081109,11.0,11
19,125,2,2,56,457233,26.0,110
21,136,2,1,66,494427,23.0,1100
12,132,3,2,95,702883,17.0,1101
19,100,3,2,58,922763,7.0,1102
25,109,1,1,115,-869395,9.0,1103
25,81,2,2,126,118476,2.0,1104
26,118,2,3,102,940226,13.0,1105
26,79,2,2,121,565206,21.0,1106
25,147,1,2,114,-421867,1.0,1107
11,130,1,1,78,546604,13.0,1108
14,138,1,2,116,490140,23.0,1109
30,147,1,2,54,526691,22.0,111
18,52,1,2,52,-101485,9.0,1110
26,50,2,3,134,445668,26.0,1111
27,106,3,2,120,752585,16.0,1112
13,109,2,1,143,97783,7.0,1113
