batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
0,11.833657,11.832081,12.000000,11.838613
1,12.366224,12.209949,14.506604,12.523602
2,12.895373,12.691353,14.648854,12.766953
3,13.419015,12.794129,14.795276,13.251649
4,13.935083,13.129941,16.380153,14.186084
5,14.441541,13.163623,16.477300,13.781907
6,14.936391,13.461753,16.521134,14.045993
7,15.417678,13.598909,16.635640,15.271586
8,15.883504,13.876002,16.617604,15.523798
9,16.332030,14.172722,16.694768,15.952979
10,16.761487,14.428065,16.742865,16.537160
11,17.170179,14.734308,16.756742,16.803337
12,17.556493,14.970251,16.762286,17.143677
13,17.918905,15.094841,16.959194,17.800833
14,18.255985,15.340851,16.977802,18.442023
15,18.566402,15.768161,16.996045,18.509877
16,18.848931,15.975943,17.024401,18.515778
17,19.102457,16.255571,17.093469,18.823190
18,19.325980,16.594050,17.152178,18.974995
19,19.518617,16.841130,17.218541,19.039296
20,19.679608,17.111938,17.232157,19.218540
21,19.808318,17.318398,17.267682,19.725882
22,19.904239,17.593523,17.280194,19.729254
23,19.966992,17.777996,17.318544,19.570329
24,19.996330,18.015051,17.358047,19.710026
25,19.992137,18.221064,17.419706,19.893555
26,19.954429,18.349396,17.356876,19.550882
27,19.883356,18.458576,17.427626,19.724007
28,19.779197,18.611817,17.422740,19.697664
29,19.642364,18.768481,17.429078,19.756396
30,19.473397,18.852404,17.476292,19.427031
31,19.272962,18.906957,17.489276,19.221811
32,19.041851,18.861484,17.482014,18.920301
33,18.780976,18.848710,17.348953,18.777880
34,18.491366,18.770059,17.350391,18.529746
35,18.174165,18.671037,17.339358,17.967338
36,17.830623,18.545735,17.332023,17.537169
37,17.462098,18.357123,17.321060,17.240741
38,17.070042,18.149268,17.270159,16.740073
39,16.656005,17.813562,17.173246,16.500265
40,16.221619,17.517999,17.061701,16.182681
41,15.768599,17.309152,16.886027,15.031401
42,15.298732,17.113979,17.163829,15.218769
43,14.813874,16.826367,17.284038,14.738491
44,14.315938,16.579171,17.250482,13.509172
45,13.806888,16.285793,17.327972,14.381775
46,13.288734,15.970580,17.313981,13.088195
47,12.763521,15.783296,17.285655,13.023327
48,12.233321,15.367304,17.291745,12.238327
49,11.700227,15.065960,17.269108,11.811643
50,11.166343,15.199572,17.510506,10.846150
51,10.633776,14.609605,17.347306,11.292324
52,10.104627,14.656674,17.216147,10.633548
53,9.580985,15.200729,17.381153,8.224966
54,9.064917,14.862102,17.324410,9.896646
55,8.558459,15.215292,17.330008,8.005153
56,8.063609,15.366547,17.460768,7.774394
57,7.582322,15.157276,17.250351,8.705705
58,7.116496,15.777862,17.205649,8.239770
59,6.667970,16.163578,17.202892,5.882529
60,6.238513,16.313982,17.059606,6.025884
61,5.829821,16.697110,14.496703,5.992551
62,5.443507,16.992823,11.062805,6.774282
63,5.081095,17.273165,8.981390,5.126738
64,4.744015,17.430795,7.591477,2.624678
65,4.433598,17.861393,7.868120,2.960507
66,4.151069,18.163313,7.706394,3.367308
67,3.897543,17.767336,7.554562,3.639274
68,3.674020,18.087189,7.347659,1.414695
69,3.481383,18.548878,7.144364,4.257298
70,3.320392,18.621958,7.206557,7.082976
71,3.191682,18.893450,6.900072,6.643312
72,3.095761,18.973747,6.160699,6.170820
73,3.033008,18.958487,6.001297,4.999777
74,3.003670,18.979458,5.745997,3.985238
75,3.007863,19.103870,5.637452,4.785922
