batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
0,11.833657,11.832081,12.000000,11.898931
1,12.366224,12.209949,14.506604,12.487203
2,12.895373,12.691353,14.648854,12.778643
3,13.419015,12.794129,14.795276,13.267167
4,13.935083,13.129941,16.380153,14.151061
5,14.441541,13.163623,16.477300,13.803016
6,14.936391,13.461753,16.521134,14.071671
7,15.417678,13.598908,16.635640,15.224231
8,15.883504,13.876002,16.617604,15.589829
9,16.332030,14.172722,16.694768,15.921749
10,16.761487,14.428065,16.742865,16.583154
11,17.170179,14.734308,16.756742,16.762116
12,17.556493,14.970251,16.762286,17.195606
13,17.918905,15.094841,16.959194,17.806594
14,18.255985,15.341046,16.977802,18.514369
15,18.566402,15.768360,16.996045,18.573819
16,18.848931,15.975943,17.024401,18.619553
17,19.102457,16.255571,17.093470,18.717288
18,19.325980,16.594050,17.152178,19.091788
19,19.518617,16.841130,17.218541,19.071841
20,19.679608,17.111938,17.232157,19.275713
21,19.808318,17.318398,17.267682,19.724655
22,19.904239,17.593523,17.280194,19.652543
23,19.966992,17.777996,17.318544,19.580262
24,19.996330,18.015051,17.358047,19.734427
25,19.992137,18.221064,17.419706,19.904258
26,19.954429,18.349396,17.356876,19.631262
27,19.883356,18.458576,17.427626,19.722968
28,19.779197,18.611817,17.422740,19.665562
29,19.642364,18.768481,17.429078,19.759496
30,19.473397,18.852404,17.476292,19.433856
31,19.272962,18.906957,17.489276,19.209034
32,19.041851,18.861484,17.482014,18.857925
33,18.780976,18.848710,17.348953,18.778239
34,18.491366,18.770059,17.350391,18.364073
35,18.174165,18.671037,17.339358,17.968606
36,17.830623,18.545727,17.332023,17.516552
37,17.462098,18.357123,17.321060,17.342436
38,17.070042,18.149268,17.270159,16.728359
39,16.656005,17.813562,17.173246,16.521282
40,16.221619,17.517999,17.061701,16.099853
41,15.768599,17.309320,16.886027,14.983979
42,15.298732,17.113979,17.163829,15.212346
43,14.813874,16.826367,17.284038,14.687806
