batch_idx,gt_theta,DA_theta,BC_theta,Ours_theta
0,11.833657,11.832081,12.000000,11.833572
1,12.366224,12.209949,14.506604,12.503218
2,12.895373,12.691353,14.648854,12.746789
3,13.419015,12.794129,14.795276,13.191800
4,13.935083,13.129941,16.380153,14.136836
5,14.441541,13.163623,16.477300,13.799275
6,14.936391,13.461753,16.521134,14.000760
7,15.417678,13.598909,16.635640,15.257490
8,15.883504,13.876002,16.617604,15.523083
9,16.332030,14.172722,16.694768,15.844469
10,16.761487,14.428065,16.742865,16.504746
11,17.170179,14.734308,16.756742,16.773859
12,17.556493,14.970251,16.762286,17.099509
13,17.918905,15.094841,16.959194,17.773371
14,18.255985,15.340851,16.977802,18.485464
15,18.566402,15.768161,16.996045,18.521168
16,18.848931,15.975943,17.024401,18.532133
17,19.102457,16.255571,17.093469,18.823033
18,19.325980,16.594050,17.152178,18.990834
19,19.518617,16.841130,17.218541,19.035332
20,19.679608,17.111938,17.186877,19.213663
21,19.808318,17.318398,17.210171,19.724219
22,19.904239,17.593523,17.168468,19.691662
23,19.966992,17.777996,17.199799,19.566843
24,19.996330,18.015051,17.218397,19.707645
25,19.992137,18.221064,17.299023,19.888665
26,19.954429,18.349396,17.302913,19.612932
27,19.883356,18.458576,17.308234,19.743937
28,19.779197,18.611817,17.293393,19.714798
29,19.642364,18.768481,17.308277,19.755962
30,19.473397,18.852404,17.287706,19.473261
31,19.272962,18.906957,17.295868,19.223970
32,19.041851,18.861484,17.300461,18.694489
33,18.780976,18.848710,17.303350,18.754736
34,18.491366,18.770059,17.290453,18.441063
35,18.174165,18.671037,17.288483,18.012979
36,17.830623,18.545735,17.292874,17.571656
37,17.462098,18.357123,17.294664,17.341675
38,17.070042,18.149268,17.293826,16.764536
39,16.656005,17.813562,17.277494,16.543522
40,16.221619,17.517999,17.245768,16.150029
41,15.768599,17.309152,17.257470,14.923424
42,15.298732,17.113979,17.283222,15.199002
43,14.813874,16.826367,17.322313,14.523936
44,14.315938,16.579171,17.323491,13.415326
45,13.806888,16.285793,17.378862,14.448506
46,13.288734,15.970580,17.410311,13.064137
47,12.763521,15.783296,17.374636,13.026526
48,12.233321,15.367304,17.372988,12.293417
49,11.700227,15.065960,17.400218,11.861189
50,11.166343,15.199572,17.488316,10.820070
51,10.633776,14.609605,17.452041,11.274657
52,10.104627,14.656674,17.404955,10.597953
53,9.580985,15.200729,17.488834,8.182701
54,9.064917,14.862102,17.457880,9.796981
55,8.558459,15.215292,17.629215,7.995756
56,8.063609,15.366547,17.645933,7.787461
57,7.582322,15.157276,17.566227,8.698857
58,7.116496,15.777862,17.651804,8.253482
59,6.667970,16.163578,17.883445,5.737108
60,6.238513,16.313982,17.924530,6.002133
61,5.829821,16.697110,17.824403,5.984459
62,5.443507,16.992823,17.798424,6.726501
63,5.081095,17.273165,17.874521,5.040914
64,4.744015,17.430795,17.269344,2.659968
65,4.433598,17.861393,17.387480,3.002580
66,4.151069,18.163313,17.200302,3.345563
67,3.897543,17.767336,16.993692,3.683668
68,3.674020,18.087189,16.865621,1.370557
69,3.481383,18.548878,16.909502,4.126539
70,3.320392,18.621958,16.766435,7.327754
71,3.191682,18.893450,15.674724,6.646538
72,3.095761,18.973747,15.799802,5.877204
73,3.033008,18.958487,15.114392,4.971035
74,3.003670,18.979458,14.826310,3.971828
75,3.007863,19.103870,15.244552,4.794331
76,3.045571,19.492992,15.461920,7.682515
77,3.116644,19.774731,16.277541,6.699907
78,11.672368,19.777384,15.915881,19.307860
79,14.936391,19.510757,16.145774,16.348722
80,15.417678,19.243882,15.950717,15.368903
81,15.883504,18.921765,15.712960,15.215367
82,16.332030,18.674224,15.714040,15.993121
83,16.761487,18.490779,15.702408,16.659488
84,17.170179,18.276062,15.938862,17.000562
85,17.556493,18.083287,15.928112,17.201641
86,17.918905,17.990644,15.898808,17.544976
87,18.255985,18.004696,16.030413,18.029305
88,18.566402,18.098245,15.959493,18.494472
89,18.848931,18.180567,15.931578,18.736613
90,19.102457,18.256273,15.984498,18.775462
91,19.325980,18.383066,16.061358,18.998062
92,19.518617,18.505079,16.039306,19.209891
93,19.679608,18.657598,16.909771,19.328379
94,19.808318,18.922466,16.914769,19.606598
95,19.904239,19.109984,16.824170,19.779440
96,19.966992,19.182660,16.879496,19.724597
97,19.996330,19.272285,16.965674,19.808958
98,19.992137,19.393489,17.009588,20.033838
99,19.954429,19.468812,17.007220,19.882368
100,19.883356,19.490101,16.832944,19.819993
101,19.779197,19.461061,16.832384,19.321335
102,19.642364,19.446904,17.167460,19.307620
103,19.473397,19.450502,17.425261,19.332242
104,19.272962,19.406058,17.324903,19.055042
105,19.041851,19.361449,17.278593,19.037620
106,18.780976,19.322521,17.347854,18.867215
107,18.491366,19.270782,17.375251,18.709980
108,18.174165,19.171557,17.458952,18.050416
109,17.830623,18.999986,17.597895,17.707905
110,17.462098,18.715898,17.582787,17.077483
111,17.070042,18.470746,17.578725,16.982599
112,16.656005,18.161014,17.600177,16.504426
113,16.221619,17.898595,17.569127,16.080516
114,15.768599,17.479741,17.638606,15.654714
115,15.298732,17.183908,17.575312,14.918521
116,14.813874,16.934250,17.565337,14.448901
117,14.315938,16.662193,17.446708,14.296391
118,13.806888,16.319392,17.443245,13.908122
119,13.288734,15.956838,17.421498,13.371067
120,12.763521,15.624746,17.451457,12.732322
121,12.233321,15.445737,17.412020,12.412356
122,11.700227,15.638956,17.574474,11.390830
123,11.166343,14.923935,17.328666,11.475646
124,10.633776,14.713321,17.332825,10.616359
125,10.104627,15.088789,17.359436,9.679696
126,9.580985,15.449830,17.259229,8.538047
127,9.064917,15.070122,17.368304,11.189737
128,8.558459,15.190399,17.397406,8.472012
129,8.063609,15.680328,17.332949,6.567101
130,7.582322,15.502471,17.054387,9.157153
131,7.116496,16.128638,17.273662,6.755975
132,6.667970,16.470540,17.259306,6.302045
133,6.238513,16.394545,17.154029,6.103190
134,5.829821,16.752575,17.463228,5.489318
135,5.443507,17.063318,17.264430,3.824812
136,5.081095,17.472219,16.971928,3.942521
137,4.744015,17.406676,17.010238,4.286735
138,4.433598,17.813985,15.814813,4.687127
139,4.151069,18.165397,15.575374,5.169598
140,3.897543,18.502641,15.650520,4.957256
141,3.674020,18.786394,15.273259,3.176785
142,3.481383,19.097740,15.179818,5.235459
143,3.320392,19.249976,13.316723,2.638380
144,3.191682,19.763900,14.101006,2.022132
145,3.095761,19.888034,11.058451,4.024051
146,3.033008,19.719577,11.530909,4.477827
147,3.003670,20.283857,10.397592,3.823524
148,3.007863,20.543925,10.706473,4.153707
149,3.045571,20.359901,10.479109,3.305071
150,3.116644,20.803065,10.039462,5.302176
151,3.220803,20.631471,10.821215,4.341817
152,3.357636,20.954814,9.514558,5.724986
153,3.526603,20.998805,9.844892,6.796900
154,7.527797,20.999328,9.640256,8.886637
155,18.848931,20.999137,11.093574,18.801514
156,18.566402,20.998856,11.544233,18.728124
157,18.255985,20.998252,12.154584,18.454371
158,17.918905,20.997156,12.198740,17.711278
159,17.556493,20.992429,13.488311,17.247180
160,17.170179,20.964603,13.015114,16.912388
161,16.761487,20.827507,15.176162,16.720344
162,16.332030,20.532099,15.445776,16.490234
163,15.883504,20.248738,15.762447,15.920349
164,15.417678,19.914901,16.345203,15.021702
165,14.936391,19.524856,16.371106,14.478440
166,14.441541,19.247375,16.259825,14.397683
167,13.935083,18.815337,16.210477,13.982045
168,13.419015,18.512659,16.000594,13.392315
169,12.895373,18.162268,15.851299,12.965446
170,12.366224,17.882600,15.935291,12.517340
171,11.833657,18.149267,16.745709,11.406069
172,11.299773,17.493554,16.484641,11.471975
173,10.766679,17.236103,16.707104,10.703026
174,10.236479,17.662400,16.711930,9.531987
175,9.711266,18.007284,16.752823,9.216341
