batch_idx,theta_true,theta_est,theta_est_std,did_restart,pred_selected_mean,pred_selected_best,pred_base_mean,pred_base_best,y_selected_mean,y_selected_best,y_base,y_base_best,reality_gap_mean,reality_gap_best,cum_gap_mean,cum_gap_best,theta_abs_error
0,3.1005841768747144,6.795032937661013,4.204674342536003,False,1145841.25,1147069.125,1147808.125,1151826.125,1069666.6,1127310.0,1084263.4,1146545.0,-76174.6499999999,-19759.125,-14596.799999999814,-19235.0,3.6944487607862984
1,2.8943161093669585,4.296712193916754,2.327495659410673,False,1296992.456600672,1379451.2922841776,1147808.125,1151826.125,1392771.8,1519742.0,1084141.0,1146436.0,95779.34339932795,140290.70771582238,294034.00000000023,354071.0,1.4023960845497956
2,3.5123381203546256,3.800611365824702,1.3343485757695988,False,1625614.1103218223,1649232.5568072826,1147808.125,1151826.125,1636564.8,1653839.0,1084505.4,1146767.0,10950.689678177703,4606.443192717386,846093.4000000004,861143.0,0.2882732454700765
3,3.0839200937224316,3.845660654448558,1.4696638230110959,False,1645982.9300331075,1659902.806270985,1147808.125,1151826.125,1656209.8,1671275.0,1084250.6,1146533.0,10226.869966892526,11372.193729015067,1418052.6000000003,1385885.0,0.7617405607261265
4,2.571464501471111,3.9272946865810585,1.303822069294555,False,1654822.1921344483,1662768.7726343637,1147808.125,1151826.125,1655887.4,1670951.0,1083949.4,1146261.0,1065.2078655515797,8182.227365636267,1989990.6000000003,1910575.0,1.3558301851099475
5,3.289276043927588,3.862026270147192,1.1761802632457907,False,1655382.2946823617,1662178.5921676813,1147808.125,1151826.125,1656337.8,1671402.0,1084373.6,1146646.0,955.5053176383954,9223.407832318684,2561954.8000000003,2435331.0,0.572750226219604
6,4.04320003610411,3.966409694886078,1.078778808682201,False,1655674.2893976409,1661772.5189258733,1147808.125,1151826.125,1656812.0,1671877.0,1084818.8,1147053.0,1137.7106023591477,10104.48107412667,3133948.0,2960155.0,0.07679034121803152
7,3.7576647705033936,3.9245695537687713,1.0005452072025522,False,1655988.0455345346,1661636.5425864665,1147808.125,1151826.125,1656630.4,1671695.0,1084650.8,1146900.0,642.3544654652942,10058.45741353347,3705927.5999999996,3484950.0,0.1669047832653776
8,2.437011811354406,4.01576836178806,0.9382378012398107,False,1656041.233389814,1661395.2417052598,1147808.125,1151826.125,1655803.6,1670868.0,1083871.6,1146190.0,-237.6333898138255,9472.758294740226,4277859.6,4009628.0,1.5787565504336545
9,1.987662823163158,3.9737417125752064,0.882544294138833,False,1656040.4312684543,1661167.2143259984,1147808.125,1151826.125,1655555.2,1670619.0,1083619.4,1145965.0,-485.2312684543431,9451.785674001556,4849795.399999999,4534282.0,1.9860788894120485
10,2.5013804299701183,4.055658855212165,0.8397076484014707,False,1655957.1372727416,1660902.6515052798,1147808.125,1151826.125,1655845.8,1670910.0,1083908.4,1146224.0,-111.33727274159901,10007.34849472018,5421732.8,5058968.0,1.554278425242047
11,3.033060783477795,4.013634617042769,0.7964234456646941,False,1655928.1506180777,1660706.582496998,1147808.125,1151826.125,1656177.2,1671242.0,1084222.0,1146507.0,249.049381922232,10535.4175030021,5993688.0,5583703.0,0.9805738335649736
