batch_idx,group,rank,Q,R,W,M1,M2,theta_true,theta_est,pred_mu,pred_sigma,actual_y
0,candidate,1,58,87,11,3,2,3.1005841768747144,6.795032937661013,1147069.125,0.0,1000960.0
0,candidate,2,69,93,11,3,2,3.1005841768747144,6.795032937661013,1147006.625,0.0,1123728.0
0,candidate,3,67,94,11,3,2,3.1005841768747144,6.795032937661013,1146729.75,0.0,1127310.0
0,candidate,4,60,87,11,3,2,3.1005841768747144,6.795032937661013,1146631.0,0.0,1022677.0
0,candidate,5,51,95,10,3,2,3.1005841768747144,6.795032937661013,1141769.75,0.0,1073658.0
0,baseline,1,64,90,11,3,2,3.1005841768747144,6.795032937661013,1151826.125,0.0,1072702.0
0,baseline,2,57,91,11,3,2,3.1005841768747144,6.795032937661013,1148794.875,0.0,1062844.0
0,baseline,3,59,93,11,3,2,3.1005841768747144,6.795032937661013,1148783.625,0.0,1098339.0
0,baseline,4,56,94,10,3,2,3.1005841768747144,6.795032937661013,1146001.0,0.0,1146545.0
0,baseline,5,52,91,10,3,2,3.1005841768747144,6.795032937661013,1143635.0,0.0,1040887.0
1,candidate,1,99,95,11,3,3,2.8943161093669585,4.296712193916754,1379451.2922841776,484729.02552089293,1519742.0
1,candidate,2,100,97,14,3,3,2.8943161093669585,4.296712193916754,1290695.12844287,434057.29188131285,1342911.0
1,candidate,3,97,94,13,3,3,2.8943161093669585,4.296712193916754,1285802.7583073517,429646.32421968866,1352083.0
1,candidate,4,98,97,10,2,3,2.8943161093669585,4.296712193916754,1283662.1795562664,426010.67596714647,1514093.0
1,candidate,5,99,75,10,3,3,2.8943161093669585,4.296712193916754,1245350.9244126945,398726.5590322605,1235030.0
1,baseline,1,64,90,11,3,2,2.8943161093669585,4.296712193916754,1151826.125,0.0,1072571.0
1,baseline,2,57,91,11,3,2,2.8943161093669585,4.296712193916754,1148794.875,0.0,1062714.0
1,baseline,3,59,93,11,3,2,2.8943161093669585,4.296712193916754,1148783.625,0.0,1098209.0
1,baseline,4,56,94,10,3,2,2.8943161093669585,4.296712193916754,1146001.0,0.0,1146436.0
1,baseline,5,52,91,10,3,2,2.8943161093669585,4.296712193916754,1143635.0,0.0,1040775.0
2,candidate,1,100,100,10,3,3,3.5123381203546256,3.800611365824702,1649232.5568072826,475230.3288338023,1653839.0
2,candidate,2,100,99,10,3,3,3.5123381203546256,3.800611365824702,1637431.175975125,471759.56798823964,1650475.0
2,candidate,3,100,98,10,3,3,3.5123381203546256,3.800611365824702,1625558.03534316,468341.0431031252,1640775.0
2,candidate,4,100,97,10,3,3,3.5123381203546256,3.800611365824702,1613696.083307135,465012.22673757485,1627927.0
2,candidate,5,100,96,10,3,3,3.5123381203546256,3.800611365824702,1602152.7001764094,461910.6350640572,1609808.0
2,baseline,1,64,90,11,3,2,3.5123381203546256,3.800611365824702,1151826.125,0.0,1072954.0
2,baseline,2,57,91,11,3,2,3.5123381203546256,3.800611365824702,1148794.875,0.0,1063101.0
2,baseline,3,59,93,11,3,2,3.5123381203546256,3.800611365824702,1148783.625,0.0,1098596.0
2,baseline,4,56,94,10,3,2,3.5123381203546256,3.800611365824702,1146001.0,0.0,1146767.0
2,baseline,5,52,91,10,3,2,3.5123381203546256,3.800611365824702,1143635.0,0.0,1041109.0
3,candidate,1,100,100,10,3,3,3.0839200937224316,3.845660654448558,1659902.806270985,446569.1218181919,1653572.0
3,candidate,2,99,100,10,3,3,3.0839200937224316,3.845660654448558,1648254.8747798556,444217.7816400104,1671275.0
3,candidate,3,100,99,10,3,3,3.0839200937224316,3.845660654448558,1648184.9422089853,444148.7092319012,1650209.0
3,candidate,4,98,100,10,3,3,3.0839200937224316,3.845660654448558,1636955.7563396976,442077.2069314412,1654420.0
3,candidate,5,99,99,10,3,3,3.0839200937224316,3.845660654448558,1636616.270566014,441819.31517312035,1651573.0
3,baseline,1,64,90,11,3,2,3.0839200937224316,3.845660654448558,1151826.125,0.0,1072690.0
3,baseline,2,57,91,11,3,2,3.0839200937224316,3.845660654448558,1148794.875,0.0,1062830.0
3,baseline,3,59,93,11,3,2,3.0839200937224316,3.845660654448558,1148783.625,0.0,1098325.0
3,baseline,4,56,94,10,3,2,3.0839200937224316,3.845660654448558,1146001.0,0.0,1146533.0
3,baseline,5,52,91,10,3,2,3.0839200937224316,3.845660654448558,1143635.0,0.0,1040875.0
4,candidate,1,100,100,10,3,3,2.571464501471111,3.9272946865810585,1662768.7726343637,446443.625714146,1653248.0
4,candidate,2,99,100,10,3,3,2.571464501471111,3.9272946865810585,1659005.0795661064,445644.82615746296,1670951.0
4,candidate,3,98,100,10,3,3,2.571464501471111,3.9272946865810585,1655464.1579665549,444958.9577496936,1654104.0
4,candidate,4,100,99,10,3,3,2.571464501471111,3.9272946865810585,1650306.324608581,443924.8059265062,1649885.0
4,candidate,5,99,99,10,3,3,2.571464501471111,3.9272946865810585,1646566.6258966352,443142.3102484673,1651249.0
4,baseline,1,64,90,11,3,2,2.571464501471111,3.9272946865810585,1151826.125,0.0,1072369.0
4,baseline,2,57,91,11,3,2,2.571464501471111,3.9272946865810585,1148794.875,0.0,1062511.0
4,baseline,3,59,93,11,3,2,2.571464501471111,3.9272946865810585,1148783.625,0.0,1098006.0
4,baseline,4,56,94,10,3,2,2.571464501471111,3.9272946865810585,1146001.0,0.0,1146261.0
4,baseline,5,52,91,10,3,2,2.571464501471111,3.9272946865810585,1143635.0,0.0,1040600.0
5,candidate,1,100,100,10,3,3,3.289276043927588,3.862026270147192,1662178.5921676813,446124.7566255671,1653700.0
5,candidate,2,99,100,10,3,3,3.289276043927588,3.862026270147192,1659728.2695351576,445579.8196682239,1671402.0
5,candidate,3,98,100,10,3,3,3.289276043927588,3.862026270147192,1657424.4618043094,445114.577826621,1654551.0
5,candidate,4,100,99,10,3,3,3.289276043927588,3.862026270147192,1649990.4937458802,443666.3620229936,1650336.0
5,candidate,5,99,99,10,3,3,3.289276043927588,3.862026270147192,1647589.65615878,443142.97052600427,1651700.0
5,baseline,1,64,90,11,3,2,3.289276043927588,3.862026270147192,1151826.125,0.0,1072817.0
5,baseline,2,57,91,11,3,2,3.289276043927588,3.862026270147192,1148794.875,0.0,1062961.0
5,baseline,3,59,93,11,3,2,3.289276043927588,3.862026270147192,1148783.625,0.0,1098456.0
5,baseline,4,56,94,10,3,2,3.289276043927588,3.862026270147192,1146001.0,0.0,1146646.0
5,baseline,5,52,91,10,3,2,3.289276043927588,3.862026270147192,1143635.0,0.0,1040988.0
6,candidate,1,100,100,10,3,3,4.04320003610411,3.966409694886078,1661772.5189258733,445908.8393511418,1654173.0
6,candidate,2,99,100,10,3,3,4.04320003610411,3.966409694886078,1660080.6053861105,445504.1631597118,1671877.0
6,candidate,3,98,100,10,3,3,4.04320003610411,3.966409694886078,1658445.8268275517,445152.5627435565,1655025.0
6,candidate,4,100,99,10,3,3,4.04320003610411,3.966409694886078,1649843.8517393577,443500.4047313575,1650810.0
6,candidate,5,99,99,10,3,3,4.04320003610411,3.966409694886078,1648228.644109311,443123.27311796113,1652175.0
6,baseline,1,64,90,11,3,2,4.04320003610411,3.966409694886078,1151826.125,0.0,1073289.0
6,baseline,2,57,91,11,3,2,4.04320003610411,3.966409694886078,1148794.875,0.0,1063429.0
6,baseline,3,59,93,11,3,2,4.04320003610411,3.966409694886078,1148783.625,0.0,1098928.0
6,baseline,4,56,94,10,3,2,4.04320003610411,3.966409694886078,1146001.0,0.0,1147053.0
6,baseline,5,52,91,10,3,2,4.04320003610411,3.966409694886078,1143635.0,0.0,1041395.0
7,candidate,1,100,100,10,3,3,3.7576647705033936,3.9245695537687713,1661636.5425864665,445742.37475046207,1653991.0
7,candidate,2,99,100,10,3,3,3.7576647705033936,3.9245695537687713,1660429.3959861535,445426.76501278946,1671695.0
7,candidate,3,98,100,10,3,3,3.7576647705033936,3.9245695537687713,1659174.2950699332,445137.8268213958,1654845.0
7,candidate,4,100,99,10,3,3,3.7576647705033936,3.9245695537687713,1649902.2339156363,443370.7154444497,1650628.0
7,candidate,5,99,99,10,3,3,3.7576647705033936,3.9245695537687713,1648797.7601144838,443088.29176390317,1651993.0
7,baseline,1,64,90,11,3,2,3.7576647705033936,3.9245695537687713,1151826.125,0.0,1073110.0
7,baseline,2,57,91,11,3,2,3.7576647705033936,3.9245695537687713,1148794.875,0.0,1063252.0
7,baseline,3,59,93,11,3,2,3.7576647705033936,3.9245695537687713,1148783.625,0.0,1098750.0
7,baseline,4,56,94,10,3,2,3.7576647705033936,3.9245695537687713,1146001.0,0.0,1146900.0
7,baseline,5,52,91,10,3,2,3.7576647705033936,3.9245695537687713,1143635.0,0.0,1041242.0
8,candidate,1,100,100,10,3,3,2.437011811354406,4.01576836178806,1661395.2417052598,445612.94415775675,1653166.0
8,candidate,2,99,100,10,3,3,2.437011811354406,4.01576836178806,1660484.8390746901,445349.8752645578,1670868.0
8,candidate,3,98,100,10,3,3,2.437011811354406,4.01576836178806,1659432.5236718052,445091.22233529564,1654016.0
8,candidate,4,100,99,10,3,3,2.437011811354406,4.01576836178806,1649840.0674440067,443274.2836475368,1649802.0
8,candidate,5,99,99,10,3,3,2.437011811354406,4.01576836178806,1649053.495053308,443048.8937355634,1651166.0
8,baseline,1,64,90,11,3,2,2.437011811354406,4.01576836178806,1151826.125,0.0,1072286.0
8,baseline,2,57,91,11,3,2,2.437011811354406,4.01576836178806,1148794.875,0.0,1062429.0
8,baseline,3,59,93,11,3,2,2.437011811354406,4.01576836178806,1148783.625,0.0,1097924.0
8,baseline,4,56,94,10,3,2,2.437011811354406,4.01576836178806,1146001.0,0.0,1146190.0
8,baseline,5,52,91,10,3,2,2.437011811354406,4.01576836178806,1143635.0,0.0,1040529.0
9,candidate,1,100,100,10,3,3,1.987662823163158,3.9737417125752064,1661167.2143259984,445469.7629825844,1652917.0
9,candidate,2,99,100,10,3,3,1.987662823163158,3.9737417125752064,1660475.4252062622,445248.4924297938,1670619.0
9,candidate,3,98,100,10,3,3,1.987662823163158,3.9737417125752064,1659547.4389969935,445010.04564933985,1653768.0
9,candidate,4,100,99,10,3,3,1.987662823163158,3.9737417125752064,1649781.7691587242,443164.2194164445,1649554.0
9,candidate,5,99,99,10,3,3,1.987662823163158,3.9737417125752064,1649230.308654294,442983.9745055826,1650918.0
9,baseline,1,64,90,11,3,2,1.987662823163158,3.9737417125752064,1151826.125,0.0,1072015.0
9,baseline,2,57,91,11,3,2,1.987662823163158,3.9737417125752064,1148794.875,0.0,1062159.0
9,baseline,3,59,93,11,3,2,1.987662823163158,3.9737417125752064,1148783.625,0.0,1097654.0
9,baseline,4,56,94,10,3,2,1.987662823163158,3.9737417125752064,1146001.0,0.0,1145965.0
9,baseline,5,52,91,10,3,2,1.987662823163158,3.9737417125752064,1143635.0,0.0,1040304.0
10,candidate,1,100,100,10,3,3,2.5013804299701183,4.055658855212165,1660902.6515052798,445346.301610251,1653208.0
10,candidate,2,99,100,10,3,3,2.5013804299701183,4.055658855212165,1660376.8057643701,445157.1132554868,1670910.0
10,candidate,3,98,100,10,3,3,2.5013804299701183,4.055658855212165,1659524.1659362318,444930.5726428978,1654059.0
10,candidate,4,100,99,10,3,3,2.5013804299701183,4.055658855212165,1649677.3536379917,443072.0682203823,1649844.0
10,candidate,5,99,99,10,3,3,2.5013804299701183,4.055658855212165,1649304.7095198354,442926.3175555047,1651208.0
10,baseline,1,64,90,11,3,2,2.5013804299701183,4.055658855212165,1151826.125,0.0,1072324.0
10,baseline,2,57,91,11,3,2,2.5013804299701183,4.055658855212165,1148794.875,0.0,1062468.0
10,baseline,3,59,93,11,3,2,2.5013804299701183,4.055658855212165,1148783.625,0.0,1097963.0
10,baseline,4,56,94,10,3,2,2.5013804299701183,4.055658855212165,1146001.0,0.0,1146224.0
10,baseline,5,52,91,10,3,2,2.5013804299701183,4.055658855212165,1143635.0,0.0,1040563.0
11,candidate,1,100,100,10,3,3,3.033060783477795,4.013634617042769,1660706.582496998,445247.6802600854,1653539.0
11,candidate,2,99,100,10,3,3,3.033060783477795,4.013634617042769,1660347.2221615217,445091.9845230894,1671242.0
11,candidate,3,98,100,10,3,3,3.033060783477795,4.013634617042769,1659556.0484740944,444876.0192185639,1654389.0
11,candidate,4,100,99,10,3,3,3.033060783477795,4.013634617042769,1649612.590345116,442999.5638807041,1650176.0
11,candidate,5,99,99,10,3,3,3.033060783477795,4.013634617042769,1649418.3096126583,442889.3434180101,1651540.0
11,baseline,1,64,90,11,3,2,3.033060783477795,4.013634617042769,1151826.125,0.0,1072659.0
11,baseline,2,57,91,11,3,2,3.033060783477795,4.013634617042769,1148794.875,0.0,1062800.0
