method,slope,batch_size,seed,theta_rmse,y_rmse,y_crps
R-BOCPD-PF-OGP,0.0005,20,101,0.02429769378201682,0.3085819951953846,0.17376546762220665
PF-OGP,0.0005,20,101,0.027833087116460018,0.3955559278011988,0.22125610933376083
BOCPD-PF,0.0005,20,101,0.0952929397722957,0.3075368988412955,0.17344411044661082
R-BOCPD-PF-usediscrepancy,0.0005,20,101,0.07681693855638999,0.28920885507218186,0.16464190362440975
R-BOCPD-PF-nodiscrepancy,0.0005,20,101,0.010306107651482602,0.7115750434258866,0.4024036263565196
R-BOCPD-PF-OGP,0.0005,20,202,0.025331650229184235,0.28053631333649376,0.16039378147604336
PF-OGP,0.0005,20,202,0.02786586864570641,0.38091027557735846,0.21221202192191646
BOCPD-PF,0.0005,20,202,0.09755929825466275,0.28583909673093355,0.16225765112598853
R-BOCPD-PF-usediscrepancy,0.0005,20,202,0.06074791862000027,0.26931887567023965,0.1541190441751584
R-BOCPD-PF-nodiscrepancy,0.0005,20,202,0.01296040011489615,0.6977542680539837,0.39644695484359926
R-BOCPD-PF-OGP,0.0005,20,303,0.0230753023904542,0.28224359367242957,0.1618467155074704
PF-OGP,0.0005,20,303,0.025659826984680858,0.3711458537423857,0.20610618652020235
BOCPD-PF,0.0005,20,303,0.07924526695915234,0.28298765740628395,0.1606089395137961
R-BOCPD-PF-usediscrepancy,0.0005,20,303,0.05197898182362438,0.26175857938015945,0.15065179531551762
R-BOCPD-PF-nodiscrepancy,0.0005,20,303,0.013522519126821746,0.7063950053070708,0.4009594489595926
R-BOCPD-PF-OGP,0.0005,20,404,0.026920389461684062,0.28743860805022103,0.16049806917482962
PF-OGP,0.0005,20,404,0.03012133361822356,0.38393026179858514,0.2125518332937945
BOCPD-PF,0.0005,20,404,0.09576471630639352,0.2843810423360885,0.16020074965470033
R-BOCPD-PF-usediscrepancy,0.0005,20,404,0.08297924918174955,0.2659364362232356,0.15106954626192443
R-BOCPD-PF-nodiscrepancy,0.0005,20,404,0.012697655323802511,0.6991339986620551,0.39239358579821926
R-BOCPD-PF-OGP,0.0005,20,505,0.02440015915073965,0.28446981867465837,0.16072078300315287
PF-OGP,0.0005,20,505,0.026388668233800674,0.3751213744346078,0.2070082022366785
BOCPD-PF,0.0005,20,505,0.09279212537879634,0.29402937969042464,0.16431662041892062
R-BOCPD-PF-usediscrepancy,0.0005,20,505,0.07191297577856849,0.2729368692853631,0.1543352890152771
R-BOCPD-PF-nodiscrepancy,0.0005,20,505,0.012723194289540994,0.703572650581082,0.39752124445400616
R-BOCPD-PF-OGP,0.001,20,101,0.018816849491975252,0.33699552150968715,0.19102236117706226
PF-OGP,0.001,20,101,0.02200555654707369,0.5674075928066709,0.3213264588146219
BOCPD-PF,0.001,20,101,0.12278023867306903,0.38925446344486214,0.21615526121476117
R-BOCPD-PF-usediscrepancy,0.001,20,101,0.09868266251004963,0.35808309253380716,0.2024540796380749
R-BOCPD-PF-nodiscrepancy,0.001,20,101,0.013023053050100528,1.1746854805760705,0.6669739481152642
R-BOCPD-PF-OGP,0.001,20,202,0.02927257019497535,0.3249423885390713,0.1815935485441928
PF-OGP,0.001,20,202,0.021694036079627454,0.5325435908386329,0.303185590743952
BOCPD-PF,0.001,20,202,0.1089850900724115,0.36467790792257376,0.20190264950105127
R-BOCPD-PF-usediscrepancy,0.001,20,202,0.0875126136087317,0.33076487541757393,0.18429009583640776
R-BOCPD-PF-nodiscrepancy,0.001,20,202,0.016724613185452025,1.1621388129097945,0.6575504443436305
R-BOCPD-PF-OGP,0.001,20,303,0.01698666139773997,0.33322827052342474,0.18298555431469907
PF-OGP,0.001,20,303,0.0208173404559592,0.5492237593602465,0.30849517187789355
BOCPD-PF,0.001,20,303,0.10977664008082062,0.3691383271793971,0.20251425776366372
R-BOCPD-PF-usediscrepancy,0.001,20,303,0.08551766051576658,0.33417131412404855,0.18421115551743958
R-BOCPD-PF-nodiscrepancy,0.001,20,303,0.014401365412547835,1.1771260650560458,0.6711307926603294
R-BOCPD-PF-OGP,0.001,20,404,0.020733693935243984,0.3311148105354735,0.18183918201086574
PF-OGP,0.001,20,404,0.024918054428199297,0.5502988045607105,0.3104838557994057
BOCPD-PF,0.001,20,404,0.12401332159564583,0.3770382304460064,0.20786869195489857
R-BOCPD-PF-usediscrepancy,0.001,20,404,0.09486904237196893,0.3404891352494038,0.18965686300465145
R-BOCPD-PF-nodiscrepancy,0.001,20,404,0.01346634280668128,1.1653236806841518,0.6607960652747272
R-BOCPD-PF-OGP,0.001,20,505,0.01902493070071653,0.3226267402753361,0.1795664300844875
PF-OGP,0.001,20,505,0.021911318984803994,0.5412404523987993,0.3050514152456885
BOCPD-PF,0.001,20,505,0.12719532186955482,0.3791630979966663,0.2087752734661449
R-BOCPD-PF-usediscrepancy,0.001,20,505,0.08612523942491304,0.34071062831061416,0.1872723581479704
R-BOCPD-PF-nodiscrepancy,0.001,20,505,0.01389417071274761,1.181783643658591,0.6692124534659347
R-BOCPD-PF-OGP,0.0015,20,101,0.017027711737335447,0.4095116064330312,0.22439213359717036
PF-OGP,0.0015,20,101,0.03268538213912092,0.7824430285645321,0.4398225306730635
BOCPD-PF,0.0015,20,101,0.11275075205296703,0.46949031548602904,0.2581426323404525
R-BOCPD-PF-usediscrepancy,0.0015,20,101,0.077688545559869,0.405406980919301,0.2255758699447382
R-BOCPD-PF-nodiscrepancy,0.0015,20,101,0.014023119606634157,1.5145873507101262,0.8539223128638306
R-BOCPD-PF-OGP,0.0015,20,202,0.015461147685240676,0.3932982474393599,0.21382430060811447
PF-OGP,0.0015,20,202,0.03335959336231893,0.7441468746837864,0.4173447932223725
BOCPD-PF,0.0015,20,202,0.1031730578231652,0.4526471686883499,0.24877643274018393
R-BOCPD-PF-usediscrepancy,0.0015,20,202,0.07104067385410315,0.39421891062555403,0.21785757884356668
R-BOCPD-PF-nodiscrepancy,0.0015,20,202,0.016060676922397137,1.5113230706260086,0.8463174856855311
