method,slope,batch_size,seed,theta_rmse,y_rmse,y_crps
RBOCPD_half_CUSUM,0.0005,20,101,0.010743279656176961,0.7120878264119367,0.40262055518386086
RBOCPD_half_CUSUM,0.0005,20,202,0.01276213659713573,0.6987987093921075,0.3969517824204608
RBOCPD_half_CUSUM,0.0005,20,303,0.013963348932111774,0.7073244078917814,0.40168185591175015
RBOCPD_half_CUSUM,0.0005,20,404,0.013389492527656355,0.6984167366927412,0.3919175191155438
RBOCPD_half_CUSUM,0.0005,20,505,0.011504933843516274,0.7038048871384465,0.3975162810397225
RBOCPD_half_CUSUM,0.001,20,101,0.012079085202414989,1.1809442554708793,0.6706247314920715
RBOCPD_half_CUSUM,0.001,20,202,0.014517115329986452,1.163884555902886,0.658472282023056
RBOCPD_half_CUSUM,0.001,20,303,0.01434967712203764,1.1729048214441773,0.6685151569278964
RBOCPD_half_CUSUM,0.001,20,404,0.01310852392967121,1.164505564231319,0.660233714617091
RBOCPD_half_CUSUM,0.001,20,505,0.013630110360526812,1.182370847847192,0.6693884983303042
RBOCPD_half_CUSUM,0.0015,20,101,0.01280157574251069,1.5138527484202988,0.8533499849680154
RBOCPD_half_CUSUM,0.0015,20,202,0.01746877272657816,1.5091206671939952,0.8449726051400147
RBOCPD_half_CUSUM,0.0015,20,303,0.013997076793519178,1.5104079654100437,0.8486890888833967
RBOCPD_half_CUSUM,0.0015,20,404,0.013567012895258457,1.4839022323556348,0.8373219885858324
RBOCPD_half_CUSUM,0.0015,20,505,0.010839186690394714,1.5276577267569413,0.8598225871048473
RBOCPD_half_CUSUM,0.002,20,101,0.01398813472942607,1.7847606458701066,1.0105431713241795
RBOCPD_half_CUSUM,0.002,20,202,0.015009676060513594,1.7668772532568693,1.0046029584642857
RBOCPD_half_CUSUM,0.002,20,303,0.011884656867553316,1.7868476656712564,1.0111177763424641
RBOCPD_half_CUSUM,0.002,20,404,0.015642607153027066,1.7671094039791568,1.0038773438513913
RBOCPD_half_CUSUM,0.002,20,505,0.014421231006997276,1.7842649840756812,1.0083923652593596
RBOCPD_half_CUSUM,0.0025,20,101,0.015757002835353917,1.8913794101404473,1.0763128883844824
RBOCPD_half_CUSUM,0.0025,20,202,0.02111930070858369,1.8584176378348243,1.0590015346767188
RBOCPD_half_CUSUM,0.0025,20,303,0.017578318707996095,1.870495568940451,1.0603589300916447
RBOCPD_half_CUSUM,0.0025,20,404,0.01826177292065114,1.8843746384248228,1.0760061235080303
RBOCPD_half_CUSUM,0.0025,20,505,0.016641198472348746,1.8794574282033971,1.0656505453072271
