method,slope,batch_size,seed,n_steps,none_ratio,delta_only_ratio,full_ratio,n_none,n_delta_only,n_full
RBOCPD_half_CUSUM,0.0005,20,101,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0005,20,202,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0005,20,303,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0005,20,404,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0005,20,505,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.001,20,101,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.001,20,202,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.001,20,303,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.001,20,404,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.001,20,505,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0015,20,101,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0015,20,202,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0015,20,303,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0015,20,404,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0015,20,505,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.002,20,101,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.002,20,202,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.002,20,303,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.002,20,404,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.002,20,505,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0025,20,101,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0025,20,202,30,0.9666666666666667,0.0,0.03333333333333333,29,0,1
RBOCPD_half_CUSUM,0.0025,20,303,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0025,20,404,30,1.0,0.0,0.0,30,0,0
RBOCPD_half_CUSUM,0.0025,20,505,30,1.0,0.0,0.0,30,0,0
