method,slope,batch_size,seed,theta_rmse,y_rmse,y_crps
DA,0.0005,20,101,0.009153290485728481,0.3072816529150667,0.17966284962563678
BC,0.0005,20,101,0.1639163977456686,0.30779413776151066,0.18054271926139964
BPC-80,0.0005,20,101,0.04750035147819616,0.31850153875762016,0.18709627641686077
BOCPD-BPC,0.0005,20,101,0.052405292107023195,0.7112810323978292,0.4420321943431065
R-BOCPD-PF-halfdiscrepancy,0.0005,20,101,0.014735666477031197,0.3084956710466229,0.17461019580720707
DA,0.0005,20,202,0.011038503079968768,0.2934594061867944,0.1717979173208105
BC,0.0005,20,202,0.16225024926268794,0.2943541294541852,0.17259666169511861
BPC-80,0.0005,20,202,0.040371407781454094,0.31074702945248833,0.18359248494279795
BOCPD-BPC,0.0005,20,202,0.03824768893918619,0.7092782541595656,0.44693930318643305
R-BOCPD-PF-halfdiscrepancy,0.0005,20,202,0.011782253346594164,0.2852883630524803,0.16165777286928487
DA,0.0005,20,303,0.012433675223956601,0.2924638590936003,0.1712453270266796
BC,0.0005,20,303,0.161967449783136,0.29322848289177333,0.1718079817706141
BPC-80,0.0005,20,303,0.040878064664085195,0.3126687854528427,0.1839346600503757
BOCPD-BPC,0.0005,20,303,0.03694940426639551,0.7030185574087603,0.4398799137822513
R-BOCPD-PF-halfdiscrepancy,0.0005,20,303,0.014514184257081005,0.27167725135431964,0.15506425570304894
DA,0.0005,20,404,0.010635326480343132,0.29127993768659133,0.1688683896229185
BC,0.0005,20,404,0.15690700112554015,0.29241043123705635,0.1696150608617684
BPC-80,0.0005,20,404,0.04387487189316135,0.304582601991193,0.17713692655851102
BOCPD-BPC,0.0005,20,404,0.048367001485542536,0.6826845797999151,0.417819132578784
R-BOCPD-PF-halfdiscrepancy,0.0005,20,404,0.011984910500083575,0.28089124444534086,0.15785956249190067
DA,0.0005,20,505,0.00977373795684412,0.29461964707950067,0.17065610017242103
BC,0.0005,20,505,0.16206139329759867,0.29596593205271093,0.1714741215109825
BPC-80,0.0005,20,505,0.041354253668029764,0.316104161842116,0.18384158996672467
BOCPD-BPC,0.0005,20,505,0.03338931051806448,0.6643959859321857,0.40960283500367195
R-BOCPD-PF-halfdiscrepancy,0.0005,20,505,0.01151192640141037,0.28558347492308206,0.15978129083723233
DA,0.001,20,101,0.010942111190753523,0.4586260575672676,0.27386786454710466
BC,0.001,20,101,0.13514271419766777,0.4599555443073141,0.2750594127794792
BPC-80,0.001,20,101,0.04761326480056468,0.43754576300752573,0.2589766249574464
BOCPD-BPC,0.001,20,101,0.10304915308540204,0.8317930893651371,0.5184177951566105
R-BOCPD-PF-halfdiscrepancy,0.001,20,101,0.012368015766201286,0.3671312839985434,0.2052609514747313
DA,0.001,20,202,0.012991635469419067,0.43757738943757685,0.2586598781676128
BC,0.001,20,202,0.1345096826250432,0.4393807603367444,0.26003502617622243
BPC-80,0.001,20,202,0.04481911167657878,0.42651869151098976,0.2522217312763477
BOCPD-BPC,0.001,20,202,0.1117387960706038,0.8660396779405659,0.539831096242214
R-BOCPD-PF-halfdiscrepancy,0.001,20,202,0.013699448469606227,0.3577321874175153,0.19740624907493942
DA,0.001,20,303,0.012376172521855038,0.44996234620439596,0.2644994315402261
BC,0.001,20,303,0.13608599990816334,0.4513543366358198,0.2655766575500883
BPC-80,0.001,20,303,0.04812761616975316,0.43745142221450806,0.25671668247929935
BOCPD-BPC,0.001,20,303,0.10357048622676182,0.8259311816815672,0.5144684024412056
R-BOCPD-PF-halfdiscrepancy,0.001,20,303,0.014210278449973884,0.34975267606919275,0.1906137394232904
DA,0.001,20,404,0.01201948265129077,0.4445671721779067,0.2610876223650472
BC,0.001,20,404,0.1318169100090894,0.4453013066587777,0.26224779466102865
BPC-80,0.001,20,404,0.04993943082793049,0.419946831875834,0.24575525881915256
BOCPD-BPC,0.001,20,404,0.10087997586369302,0.8020805284894746,0.49874456021292457
R-BOCPD-PF-halfdiscrepancy,0.001,20,404,0.014252138195187536,0.3554955364027565,0.19627910276892613
DA,0.001,20,505,0.01425989584829429,0.4504045669374795,0.26639965741798793
BC,0.001,20,505,0.133623135491692,0.45183082695665033,0.26739755992231695
BPC-80,0.001,20,505,0.05081508042387133,0.4313987472961689,0.2547991581518075
BOCPD-BPC,0.001,20,505,0.0969435489642449,0.8290404482134457,0.5134821880994171
R-BOCPD-PF-halfdiscrepancy,0.001,20,505,0.014407510630190513,0.3590597725378864,0.19704799771372053
DA,0.0015,20,101,0.011984273393397629,0.6067179431175364,0.3632244128605415
