method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
DA,80,0.5,20,101,0.011017270866318483,0.4637533922990163,0.2715020224452019
BC,80,0.5,20,101,0.08114497535622793,0.46459255715211234,0.27341608752806984
BOCPD-PF,80,0.5,20,101,0.07650444855331032,1.6948508632168997,0.22576191502078485
BPC-80,80,0.5,20,101,0.06361972533498274,1.6529911994934081,
BOCPD-BPC,80,0.5,20,101,0.09717365217267139,1.6738543430964152,
R-BOCPD-PF-OGP,80,0.5,20,101,0.01010552829919144,0.3675195407275528,
PF-OGP,80,0.5,20,101,0.021020725524880022,0.4569063197353926,
R-BOCPD-PF-usediscrepancy,80,0.5,20,101,0.07046865576779551,1.6988316873159153,0.22898261733013717
R-BOCPD-PF-nodiscrepancy,80,0.5,20,101,0.014534263263209599,1.6745259725640793,0.42917215470278003
R-BOCPD-PF-halfdiscrepancy,80,0.5,20,101,0.013702574801187023,1.6741258277223292,0.4293052680928486
DA,80,0.5,20,202,0.014622406221157899,0.4558159410953522,0.2638376255830129
BC,80,0.5,20,202,0.07833955564304922,0.4558658132950465,0.264779228468736
BOCPD-PF,80,0.5,20,202,0.0743942942903479,1.6985039715450412,0.21377601536412613
BPC-80,80,0.5,20,202,0.06519794697453236,1.6604784409205118,
BOCPD-BPC,80,0.5,20,202,0.10492906161574642,1.6863763809204102,
R-BOCPD-PF-OGP,80,0.5,20,202,0.012016379888841548,0.35029252593731547,
PF-OGP,80,0.5,20,202,0.019460224093214032,0.43723265225973995,
R-BOCPD-PF-usediscrepancy,80,0.5,20,202,0.044077421540249316,1.6841453281537997,0.20015222411494263
R-BOCPD-PF-nodiscrepancy,80,0.5,20,202,0.01662040416373554,1.6796990567984666,0.4269238778874637
R-BOCPD-PF-halfdiscrepancy,80,0.5,20,202,0.016229860785375423,1.6803842379577505,0.4270738759028286
DA,80,0.5,20,303,0.012484130849478095,0.4677948961655299,0.27863890677690506
BC,80,0.5,20,303,0.07270001610242892,0.46834392050902046,0.2803805152575175
BOCPD-PF,80,0.5,20,303,0.11609107687271349,1.728677961657582,0.23546061519985845
BPC-80,80,0.5,20,303,0.06444604922676342,1.6595622062683106,
BOCPD-BPC,80,0.5,20,303,0.09803873233381673,1.6803284168243409,
R-BOCPD-PF-OGP,80,0.5,20,303,0.011268338039943258,0.378790152843739,
PF-OGP,80,0.5,20,303,0.02159215231677258,0.4384567738546606,
R-BOCPD-PF-usediscrepancy,80,0.5,20,303,0.06102462985101888,1.6977437078825532,0.23102338931311997
R-BOCPD-PF-nodiscrepancy,80,0.5,20,303,0.013834531320405232,1.6808934517975531,0.4318731802989103
R-BOCPD-PF-halfdiscrepancy,80,0.5,20,303,0.014117199406378969,1.6816209755375895,0.4325306656617111
DA,80,0.5,20,404,0.01535317087479407,0.46591750184694924,0.26831406156222026
BC,80,0.5,20,404,0.07262438565724863,0.4656023840109507,0.2689865708351135
BOCPD-PF,80,0.5,20,404,0.08469940823121226,1.7100602667116718,0.2323914067334393
BPC-80,80,0.5,20,404,0.06857769651293111,1.6535919348398844,
BOCPD-BPC,80,0.5,20,404,0.11624610634825705,1.6837053378423055,
R-BOCPD-PF-OGP,80,0.5,20,404,0.010999251182518648,0.3615891010740613,
PF-OGP,80,0.5,20,404,0.021677494513627965,0.43942261226025237,
R-BOCPD-PF-usediscrepancy,80,0.5,20,404,0.08294255971434657,1.707850485432599,0.2301086868269172
R-BOCPD-PF-nodiscrepancy,80,0.5,20,404,0.014220023227149901,1.6754413752228112,0.4148061214950592
R-BOCPD-PF-halfdiscrepancy,80,0.5,20,404,0.014610202509793639,1.67585092831101,0.4145348692540118
DA,80,0.5,20,505,0.011397729920482037,0.45970734854539236,0.2602372442682584
BC,80,0.5,20,505,0.07728324268859145,0.4587216466665268,0.26147178262472154
BOCPD-PF,80,0.5,20,505,0.09604848761561192,1.7143963629403796,0.2292930915606565
BPC-80,80,0.5,20,505,0.06033942578835226,1.6505820115407308,
BOCPD-BPC,80,0.5,20,505,0.10359947340737005,1.6736536026000977,
R-BOCPD-PF-OGP,80,0.5,20,505,0.007731273458975137,0.3859055589875116,
PF-OGP,80,0.5,20,505,0.02270747213260277,0.46876652121010803,
R-BOCPD-PF-usediscrepancy,80,0.5,20,505,0.07739600144794954,1.6992208632734978,0.23264939335036505
R-BOCPD-PF-nodiscrepancy,80,0.5,20,505,0.015615956633182918,1.6737653906494503,0.4220541471131914
R-BOCPD-PF-halfdiscrepancy,80,0.5,20,505,0.01457473930416791,1.6734781180102887,0.4226826038115435
DA,80,1.0,20,101,0.03145637261986605,0.8146847933530807,0.4975714961687724
BC,80,1.0,20,101,0.16004587949289645,0.8174354791641235,0.50066689401865
BOCPD-PF,80,1.0,20,101,0.08097392769358719,1.6403558427456277,0.39036035886461545
BPC-80,80,1.0,20,101,0.10229678158805647,1.6218902190526328,
BOCPD-BPC,80,1.0,20,101,0.09835897449164814,1.615350365638733,
R-BOCPD-PF-OGP,80,1.0,20,101,0.010516179249792954,0.49167620783951776,
PF-OGP,80,1.0,20,101,0.1054765627239037,0.9583735095137615,
R-BOCPD-PF-usediscrepancy,80,1.0,20,101,0.029079860275538254,1.6183980762226151,0.28238119833465986
R-BOCPD-PF-nodiscrepancy,80,1.0,20,101,0.012602548911317879,1.6190841432127236,0.7536310266578893
R-BOCPD-PF-halfdiscrepancy,80,1.0,20,101,0.013625662500341307,1.6182419907237038,0.7493099111335376
DA,80,1.0,20,202,0.026880108615204793,0.8055734564860662,0.48986279765764873
BC,80,1.0,20,202,0.15536828163809205,0.806693188349406,0.4917787124713262
BOCPD-PF,80,1.0,20,202,0.07724706932665262,1.6645816546194832,0.38211373311112445
BPC-80,80,1.0,20,202,0.09645081771285871,1.6366483449935914,
BOCPD-BPC,80,1.0,20,202,0.10966569311150064,1.6458267450332642,
R-BOCPD-PF-OGP,80,1.0,20,202,0.008550822489235312,0.4737705287614931,
PF-OGP,80,1.0,20,202,0.10049593493356761,0.9791257576568346,
R-BOCPD-PF-usediscrepancy,80,1.0,20,202,0.03639638853681521,1.6441832155091798,0.2845370181047937
R-BOCPD-PF-nodiscrepancy,80,1.0,20,202,0.014620593328738612,1.633758067441295,0.7576166139941941
R-BOCPD-PF-halfdiscrepancy,80,1.0,20,202,0.014466326435646052,1.632896429288556,0.7568146828308678
DA,80,1.0,20,303,0.030821754565516286,0.8075357715288798,0.5046472653746605
BC,80,1.0,20,303,0.14818500204243912,0.8123095810413361,0.5092574268579483
BOCPD-PF,80,1.0,20,303,0.08221396721590915,1.6431676498644026,0.4009723835956073
BPC-80,80,1.0,20,303,0.11090043496695773,1.6244094451268514,
BOCPD-BPC,80,1.0,20,303,0.11054696225791022,1.625635035832723,
