method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
BOCPD-PF,80,0.5,20,101,0.07775879664892728,0.39214714169211173,0.22364750897621394
R-BOCPD-PF-usediscrepancy,80,0.5,20,101,0.07483482277162548,0.40107221805995596,0.2281967522250626
R-BOCPD-PF-nodiscrepancy,80,0.5,20,101,0.014233739931440963,0.7774886973849712,0.429460309248823
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,0.5,20,101,0.021479961289097224,0.7743453244063928,0.4288856053641707
BOCPD-PF,80,0.5,20,202,0.07454028041342922,0.37841011716922746,0.21456830013681177
R-BOCPD-PF-usediscrepancy,80,0.5,20,202,0.0651933407661389,0.36550187359067443,0.20847216574540336
R-BOCPD-PF-nodiscrepancy,80,0.5,20,202,0.016406888492199227,0.7729058662680455,0.42774764650074715
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,0.5,20,202,0.023617631359854147,0.759019511824737,0.42054152334741973
BOCPD-PF,80,0.5,20,303,0.11672561751845799,0.40881326269284063,0.2354804133414343
R-BOCPD-PF-usediscrepancy,80,0.5,20,303,0.042834370753308836,0.37272006561531573,0.21673778518760278
R-BOCPD-PF-nodiscrepancy,80,0.5,20,303,0.01394554285108077,0.7654138566875813,0.4324387213104156
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,0.5,20,303,0.01596202065839476,0.7628414655817957,0.43113514985763973
BOCPD-PF,80,1.0,20,101,0.0618942015376916,0.6712712264633143,0.39023446696255176
R-BOCPD-PF-usediscrepancy,80,1.0,20,101,0.02610350895726953,0.4709102576127278,0.2826512300172756
R-BOCPD-PF-nodiscrepancy,80,1.0,20,101,0.01137199195153947,1.331887598589388,0.7544631064966983
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,1.0,20,101,0.012862767129941966,0.9271551051274596,0.5349221229884364
BOCPD-PF,80,1.0,20,202,0.0663640727862302,0.657932060248139,0.3821105580764328
R-BOCPD-PF-usediscrepancy,80,1.0,20,202,0.03294520708983765,0.4689940922359452,0.2844554991959686
R-BOCPD-PF-nodiscrepancy,80,1.0,20,202,0.013865397156767531,1.338393264804946,0.7570445284558648
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,1.0,20,202,0.015304770480303482,0.9338308518447168,0.5373165333466635
BOCPD-PF,80,1.0,20,303,0.07824292495213303,0.6798237426394953,0.4012367004450014
