method,seg_len_L,delta_mag,batch_size,seed,n_steps,none_ratio,delta_only_ratio,full_ratio,n_none,n_delta_only,n_full
BOCPD-PF,80,0.5,20,101,16,0.75,0.0,0.25,12,0,4
R-BOCPD-PF-usediscrepancy,80,0.5,20,101,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-nodiscrepancy,80,0.5,20,101,16,1.0,0.0,0.0,16,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,0.5,20,101,16,1.0,0.0,0.0,16,0,0
BOCPD-PF,80,0.5,20,202,16,0.75,0.0,0.25,12,0,4
R-BOCPD-PF-usediscrepancy,80,0.5,20,202,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-nodiscrepancy,80,0.5,20,202,16,1.0,0.0,0.0,16,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,0.5,20,202,16,1.0,0.0,0.0,16,0,0
BOCPD-PF,80,0.5,20,303,16,0.6875,0.0,0.3125,11,0,5
R-BOCPD-PF-usediscrepancy,80,0.5,20,303,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-nodiscrepancy,80,0.5,20,303,16,1.0,0.0,0.0,16,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,0.5,20,303,16,1.0,0.0,0.0,16,0,0
BOCPD-PF,80,1.0,20,101,16,0.625,0.0,0.375,10,0,6
R-BOCPD-PF-usediscrepancy,80,1.0,20,101,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-nodiscrepancy,80,1.0,20,101,16,1.0,0.0,0.0,16,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,1.0,20,101,16,0.9375,0.0,0.0625,15,0,1
BOCPD-PF,80,1.0,20,202,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-usediscrepancy,80,1.0,20,202,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-nodiscrepancy,80,1.0,20,202,16,1.0,0.0,0.0,16,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,1.0,20,202,16,0.9375,0.0,0.0625,15,0,1
BOCPD-PF,80,1.0,20,303,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-usediscrepancy,80,1.0,20,303,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-nodiscrepancy,80,1.0,20,303,16,1.0,0.0,0.0,16,0,0
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,1.0,20,303,16,1.0,0.0,0.0,16,0,0
BOCPD-PF,80,2.0,20,101,16,0.625,0.0,0.375,10,0,6
R-BOCPD-PF-usediscrepancy,80,2.0,20,101,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-nodiscrepancy,80,2.0,20,101,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,2.0,20,101,16,0.8125,0.0,0.1875,13,0,3
BOCPD-PF,80,2.0,20,202,16,0.625,0.0,0.375,10,0,6
R-BOCPD-PF-usediscrepancy,80,2.0,20,202,16,0.8125,0.0,0.1875,13,0,3
R-BOCPD-PF-nodiscrepancy,80,2.0,20,202,16,0.875,0.0,0.125,14,0,2
R-BOCPD-PF-halfdiscrepancy-hybrid-rolled,80,2.0,20,202,16,0.875,0.0,0.125,14,0,2
BOCPD-PF,80,2.0,20,303,16,0.75,0.0,0.25,12,0,4
