t,mode,W,R,M1,M2,Q,NetRevenue,CustomerLbd_sec,CustomerLbd_min
1,0,10,51,2,2,96,994220.0,698.010731829028,11.633512197150468
2,0,13,98,2,2,64,1053241.0,706.019487129845,11.766991452164083
3,0,10,86,3,1,72,843568.0,714.024289861918,11.900404831031967
4,0,12,99,3,2,78,1020014.0,722.02316495995,12.033719415999167
5,0,14,92,1,3,75,974781.0,730.014138821201,12.166902313686682
6,0,14,82,1,3,78,961122.0,737.995239792442,12.299920663207367
7,0,13,100,3,1,91,850090.0,745.964498656433,12.432741644273882
8,0,13,64,3,2,75,954429.0,753.919949117795,12.565332485296583
9,0,11,58,1,1,67,371963.0,761.859628288167,12.69766047146945
10,0,15,86,1,3,71,944109.0,769.781577170518,12.829692952841965
11,0,11,85,3,1,90,827328.0,777.683841142499,12.961397352374982
12,0,14,61,2,2,79,918929.0,785.56447043872,13.092741173978668
13,0,10,100,1,3,73,914590.0,793.421520631821,13.22369201053035
14,0,13,66,3,2,99,903648.0,801.253053112237,13.354217551870617
15,0,11,99,1,3,62,900344.0,809.057135566512,13.4842855927752
16,0,11,77,2,1,73,807704.0,816.831842454076,13.613864040901266
17,0,12,59,2,3,98,900513.0,824.57525548234,13.742920924705667
18,0,14,70,2,3,92,876705.0,832.285464080007,13.871424401333451
19,0,14,56,1,1,79,638017.0,839.960565868475,13.999342764474584
20,0,11,67,1,1,52,650292.0,847.598667131223,14.12664445218705
21,0,13,78,3,1,78,801595.0,855.197883281056,14.253298054684267
22,0,10,99,3,1,69,798138.0,862.756339325099,14.379272322084983
23,0,15,99,3,1,99,779074.0,870.272170327421,14.504536172123684
24,0,15,58,2,1,78,765370.0,877.743521869186,14.629058697819767
25,0,12,84,3,3,79,847873.0,885.168550506196,14.752809175103266
26,0,13,81,1,1,81,684998.0,892.545424223738,14.875757070395633
27,0,13,69,2,3,70,840861.0,899.872322888605,14.997872048143417
28,0,14,51,3,3,62,804955.0,907.147438698187,15.119123978303117
29,0,10,78,1,1,76,686860.0,914.368976626517,15.239482943775283
30,0,13,54,1,3,70,785390.0,921.535154867169,15.358919247786151
31,0,15,91,1,3,92,785285.0,928.644205272892,15.477403421214866
32,0,13,60,2,1,98,741211.0,935.694373791875,15.594906229864584
33,0,13,89,3,1,73,738482.0,942.683920900528,15.711398681675467
34,0,10,100,1,2,83,758585.0,949.611122032689,15.826852033878149
35,0,15,75,2,1,59,732884.0,956.474268005134,15.941237800085567
36,0,11,87,2,2,79,766561.0,963.271665439288,16.054527757321466
37,0,12,70,3,2,57,776030.0,970.001637179047,16.166693952984115
38,0,14,94,1,2,53,752312.0,976.662522704587,16.277708711743117
39,0,12,85,2,2,60,763065.0,983.252678542072,16.387544642367867
40,0,13,52,1,2,52,728493.0,989.770478669161,16.496174644486015
41,0,13,69,1,1,94,655219.0,996.214314916201,16.603571915270017
42,0,10,84,3,2,60,746769.0,1002.58259736302,16.709709956050332
43,0,10,75,1,2,96,713892.0,1008.87375473121,16.8145625788535
44,0,15,72,1,3,57,727800.0,1015.08623477183,16.918103912863835
45,0,14,72,2,3,84,726370.0,1021.21850464839,17.0203084108065
46,0,10,71,2,3,100,713038.0,1027.26905131506,17.121150855251003
47,0,14,77,1,2,55,714418.0,1033.23638188998,17.220606364833
48,0,13,86,3,2,50,720939.0,1039.11902402363,17.31865040039383
49,0,14,64,3,1,64,672738.0,1044.91552626208,17.415258771034665
50,0,10,65,3,2,68,704309.0,1050.62445840514,17.510407640085667
51,0,14,75,1,2,74,687390.0,1056.24441185923,17.60407353098717
52,0,14,76,3,2,52,706930.0,1061.77399998492,17.696233333082
53,0,15,75,1,1,53,634293.0,1067.21185843909,17.78686430731817
54,0,11,63,2,1,82,650391.0,1072.55664551153,17.875944091858834
55,0,12,86,3,1,54,650573.0,1077.80704245602,17.963450707600334
56,0,10,69,1,1,52,623557.0,1082.96175381565,18.049362563594165
57,0,10,80,3,2,69,668041.0,1088.01950774255,18.133658462375834
58,0,10,77,1,1,53,616654.0,1092.9790563116,18.216317605193336
59,0,12,90,1,1,57,606504.0,1097.83917582842,18.297319597140334
60,0,11,58,3,1,54,641098.0,1102.59866713122,18.376644452187
61,0,14,58,2,3,74,667067.0,1107.25635588676,18.454272598112667
62,0,11,64,2,1,63,629608.0,1111.81109288003,18.53018488133383
63,0,13,99,1,3,92,630910.0,1116.26175429782,18.604362571630336
64,0,13,71,1,2,79,640385.0,1120.60724200603,18.676787366767165
65,0,11,51,2,1,66,628790.0,1124.84648382059,18.747441397009833
66,0,12,74,2,3,91,638929.0,1128.97843377201,18.8163072295335
67,0,15,64,2,3,60,654465.0,1133.00207236348,18.883367872724666
68,0,15,90,3,3,63,640092.0,1136.91640682237,18.94860678037283
69,0,11,51,2,1,57,621777.0,1140.72047134523,19.012007855753833
70,0,15,82,2,3,64,637799.0,1144.41332733607,19.07355545560117
71,0,11,51,3,3,70,643520.0,1147.99406363791,19.133234393965164
72,0,14,78,3,3,92,622361.0,1151.46179675767,19.19102994596117
73,0,12,90,2,3,68,633650.0,1154.81567108408,19.24692785140133
74,0,14,94,1,2,88,607982.0,1158.05485909883,19.300914318313836
75,0,13,56,3,2,93,623095.0,1161.17856158076,19.352976026346003
76,0,15,60,2,3,56,638543.0,1164.18600780301,19.403100130050166
77,0,12,58,3,3,87,620547.0,1167.07645572323,19.451274262053836
78,0,15,55,2,3,91,619382.0,1169.84919216666,19.497486536111
79,0,15,51,2,2,67,633325.0,1172.50353300205,19.54172555003417
80,0,10,70,1,2,92,600378.0,1175.03882331053,19.583980388508834
81,0,10,73,2,2,91,608944.0,1177.45443754715,19.624240625785834
82,0,10,56,2,1,59,598101.0,1179.74977969524,19.662496328254
83,0,13,92,3,1,58,585623.0,1181.92428341348,19.698738056891333
84,0,12,78,3,2,81,611714.0,1183.9774121756,19.732956869593334
85,0,10,90,1,2,71,605149.0,1185.90865940281,19.765144323380166
86,0,10,79,2,1,60,588500.0,1187.71754858876,19.795292476479336
87,0,15,77,3,1,99,569420.0,1189.4036334171,19.823393890285
88,0,13,56,1,1,62,578257.0,1190.96649787163,19.849441631193834
89,0,10,69,2,3,58,620408.0,1192.40575633893,19.873429272315498
90,0,11,86,3,2,75,609892.0,1193.72105370352,19.895350895058666
91,0,13,62,2,1,68,592854.0,1194.91206543544,19.915201090590664
92,0,11,78,2,3,76,612478.0,1195.97849767038,19.932974961173
93,0,14,82,3,3,66,617122.0,1196.92008728214,19.948668121369
94,0,11,71,2,1,74,584738.0,1197.73660194757,19.962276699126168
95,0,13,100,3,3,73,606349.0,1198.4278402039,19.973797336731664
96,0,10,96,3,3,77,603180.0,1198.99363149842,19.98322719164033
97,0,14,81,1,3,96,585884.0,1199.4338362306,19.990563937176667
98,0,14,93,1,2,60,599539.0,1199.74834578652,19.995805763108667
99,0,13,90,2,3,71,609581.0,1199.93708256565,19.998951376094166
100,0,13,61,3,1,89,577128.0,1200.0,20.0
101,0,10,62,1,1,96,551046.0,1199.93708256565,19.998951376094166
102,0,13,58,3,3,64,621941.0,1199.74834578652,19.995805763108667
103,0,12,55,3,2,98,599500.0,1199.4338362306,19.990563937176667
104,0,10,96,3,2,96,590842.0,1198.99363149842,19.98322719164033
105,0,10,70,3,3,64,620233.0,1198.4278402039,19.973797336731664
106,0,12,58,1,1,76,567027.0,1197.73660194757,19.962276699126168
107,0,14,64,2,2,86,609420.0,1196.92008728214,19.948668121369
108,0,14,88,3,3,65,616273.0,1195.97849767038,19.932974961173
109,0,11,68,2,3,61,619209.0,1194.91206543544,19.915201090590664
110,0,10,65,1,1,58,571951.0,1193.72105370352,19.895350895058666
111,0,11,79,2,3,73,614066.0,1192.40575633893,19.873429272315498
112,0,12,68,1,3,74,607478.0,1190.96649787163,19.849441631193834
113,0,10,71,1,3,86,601227.0,1189.4036334171,19.823393890285
114,0,10,78,3,1,69,589627.0,1187.71754858876,19.795292476479336
115,0,12,67,3,3,75,617895.0,1185.90865940281,19.765144323380166
116,0,10,97,3,2,81,605437.0,1183.9774121756,19.732956869593334
117,0,11,85,3,3,87,607087.0,1181.92428341348,19.698738056891333
118,0,11,50,3,1,75,595566.0,1179.74977969524,19.662496328254
119,0,12,91,1,1,59,567649.0,1177.45443754715,19.624240625785834
120,0,12,58,2,3,51,634413.0,1175.03882331053,19.583980388508834
121,0,10,77,2,2,75,621640.0,1172.50353300205,19.54172555003417
122,0,12,86,1,2,92,600685.0,1169.84919216666,19.497486536111
123,0,15,62,3,3,79,625394.0,1167.07645572323,19.451274262053836
124,0,15,70,1,3,52,629233.0,1164.18600780301,19.403100130050166
125,0,10,96,3,1,55,600085.0,1161.17856158076,19.352976026346003
126,0,11,64,2,2,92,623901.0,1158.05485909883,19.300914318313836
127,0,13,56,1,3,65,634100.0,1154.81567108408,19.24692785140133
128,0,10,99,3,3,91,618196.0,1151.46179675767,19.19102994596117
129,0,13,70,2,2,58,641277.0,1147.99406363791,19.133234393965164
