method,seg_len_L,delta_mag,batch_size,seed,theta_rmse,y_rmse,y_crps
RBOCPD_half_CUSUM,80,0.5,20,101,0.021595678674090846,0.7674969271625293,0.4249140303229139
RBOCPD_half_CUSUM,80,0.5,20,202,0.02409344171759651,0.7614260035915211,0.4218300932248566
RBOCPD_half_CUSUM,80,0.5,20,303,0.01658621721401091,0.7649884533726493,0.4323808096154114
RBOCPD_half_CUSUM,80,1.0,20,101,0.015590088600207101,0.9281812240029813,0.5355827671455659
RBOCPD_half_CUSUM,80,1.0,20,202,0.014049242024773406,0.9331598982191436,0.5368850883543997
RBOCPD_half_CUSUM,80,1.0,20,303,0.022498849141296507,1.3208259004613927,0.7599124337316472
RBOCPD_half_CUSUM,80,2.0,20,101,0.013361860563795803,0.7536758984469072,0.475748279932835
RBOCPD_half_CUSUM,80,2.0,20,202,0.016004642144938627,0.7411206801601048,0.47273277903594724
RBOCPD_half_CUSUM,80,2.0,20,303,0.009704747627079539,0.7484470671444272,0.47760974604256734
RBOCPD_half_CUSUM,80,3.0,20,101,0.06392346212733345,0.8615984801143122,0.5580589159016113
RBOCPD_half_CUSUM,80,3.0,20,202,0.015756398547429204,0.839193757544807,0.5417464072117852
RBOCPD_half_CUSUM,80,3.0,20,303,0.013167474701561913,0.8583724008186543,0.5644871979610985
RBOCPD_half_CUSUM,120,0.5,20,101,0.02443738827834417,0.735751492326857,0.411270107230256
RBOCPD_half_CUSUM,120,0.5,20,202,0.021319668365281062,0.7465367079084078,0.4117711568566986
RBOCPD_half_CUSUM,120,0.5,20,303,0.022991505176834542,0.7491774315005825,0.4203050903377488
RBOCPD_half_CUSUM,120,1.0,20,101,0.014565357237055697,0.8474860192989544,0.4884851120373705
RBOCPD_half_CUSUM,120,1.0,20,202,0.014885417501605179,0.8600994595463255,0.4989035850329125
RBOCPD_half_CUSUM,120,1.0,20,303,0.014947198435154668,0.8572064308995316,0.49603397843595926
RBOCPD_half_CUSUM,120,2.0,20,101,0.013633924803468096,0.9128795234206603,0.550876357145939
RBOCPD_half_CUSUM,120,2.0,20,202,0.023493826256355144,0.6063854245959847,0.3761576782820734
RBOCPD_half_CUSUM,120,2.0,20,303,0.017649833641870394,0.5703497680043118,0.3530445522669447
RBOCPD_half_CUSUM,120,3.0,20,101,0.05595254657703819,0.6175620234481662,0.39632532010341703
RBOCPD_half_CUSUM,120,3.0,20,202,0.036918612816149894,0.6119417533990485,0.3894427242179926
RBOCPD_half_CUSUM,120,3.0,20,303,0.013708268972269648,0.702349106848265,0.44428748662456286
RBOCPD_half_CUSUM,200,0.5,20,101,0.02271747266443765,0.7178388847959142,0.4000454861921365
RBOCPD_half_CUSUM,200,0.5,20,202,0.02194079769860297,0.7126133655662052,0.39554320987926067
RBOCPD_half_CUSUM,200,0.5,20,303,0.017628909363964322,0.7388441838118057,0.41399343577544884
RBOCPD_half_CUSUM,200,1.0,20,101,0.01863005175720831,1.2439218600510773,0.7024899375975863
RBOCPD_half_CUSUM,200,1.0,20,202,0.015577954461808577,0.7921815586947157,0.4565801768858529
RBOCPD_half_CUSUM,200,1.0,20,303,0.03448030689088931,1.1329018195008402,0.6393610196668517
RBOCPD_half_CUSUM,200,2.0,20,101,0.014916882229955039,0.7800916760147347,0.45641382466740676
RBOCPD_half_CUSUM,200,2.0,20,202,0.021756937873265454,0.40351463023466705,0.24810873823606303
RBOCPD_half_CUSUM,200,2.0,20,303,0.01420944785093596,0.80377765940161,0.47423843152180084
RBOCPD_half_CUSUM,200,3.0,20,101,0.010749949392500183,0.4538777191110205,0.28609911778041597
RBOCPD_half_CUSUM,200,3.0,20,202,0.03794491376490788,0.43865045883701353,0.27522954442875874
RBOCPD_half_CUSUM,200,3.0,20,303,0.04615878849197902,0.47219674648966486,0.2974420907844445
