method,seg_len_L,delta_mag,batch_size,seed,n_steps,none_ratio,delta_only_ratio,full_ratio,n_none,n_delta_only,n_full
RBOCPD_half_CUSUM,80,0.5,20,101,16,1.0,0.0,0.0,16,0,0
RBOCPD_half_CUSUM,80,0.5,20,202,16,1.0,0.0,0.0,16,0,0
RBOCPD_half_CUSUM,80,0.5,20,303,16,1.0,0.0,0.0,16,0,0
RBOCPD_half_CUSUM,80,1.0,20,101,16,0.9375,0.0,0.0625,15,0,1
RBOCPD_half_CUSUM,80,1.0,20,202,16,0.9375,0.0,0.0625,15,0,1
RBOCPD_half_CUSUM,80,1.0,20,303,16,1.0,0.0,0.0,16,0,0
RBOCPD_half_CUSUM,80,2.0,20,101,16,0.8125,0.0,0.1875,13,0,3
RBOCPD_half_CUSUM,80,2.0,20,202,16,0.8125,0.0,0.1875,13,0,3
RBOCPD_half_CUSUM,80,2.0,20,303,16,0.8125,0.0,0.1875,13,0,3
RBOCPD_half_CUSUM,80,3.0,20,101,16,0.8125,0.0,0.1875,13,0,3
RBOCPD_half_CUSUM,80,3.0,20,202,16,0.8125,0.0,0.1875,13,0,3
RBOCPD_half_CUSUM,80,3.0,20,303,16,0.8125,0.0,0.1875,13,0,3
RBOCPD_half_CUSUM,120,0.5,20,101,24,1.0,0.0,0.0,24,0,0
RBOCPD_half_CUSUM,120,0.5,20,202,24,1.0,0.0,0.0,24,0,0
RBOCPD_half_CUSUM,120,0.5,20,303,24,1.0,0.0,0.0,24,0,0
RBOCPD_half_CUSUM,120,1.0,20,101,24,0.9583333333333334,0.0,0.041666666666666664,23,0,1
RBOCPD_half_CUSUM,120,1.0,20,202,24,0.9583333333333334,0.0,0.041666666666666664,23,0,1
RBOCPD_half_CUSUM,120,1.0,20,303,24,0.9583333333333334,0.0,0.041666666666666664,23,0,1
RBOCPD_half_CUSUM,120,2.0,20,101,24,0.9166666666666666,0.0,0.08333333333333333,22,0,2
RBOCPD_half_CUSUM,120,2.0,20,202,24,0.8333333333333334,0.0,0.16666666666666666,20,0,4
RBOCPD_half_CUSUM,120,2.0,20,303,24,0.875,0.0,0.125,21,0,3
RBOCPD_half_CUSUM,120,3.0,20,101,24,0.875,0.0,0.125,21,0,3
RBOCPD_half_CUSUM,120,3.0,20,202,24,0.875,0.0,0.125,21,0,3
RBOCPD_half_CUSUM,120,3.0,20,303,24,0.875,0.0,0.125,21,0,3
RBOCPD_half_CUSUM,200,0.5,20,101,40,1.0,0.0,0.0,40,0,0
RBOCPD_half_CUSUM,200,0.5,20,202,40,1.0,0.0,0.0,40,0,0
RBOCPD_half_CUSUM,200,0.5,20,303,40,1.0,0.0,0.0,40,0,0
RBOCPD_half_CUSUM,200,1.0,20,101,40,1.0,0.0,0.0,40,0,0
RBOCPD_half_CUSUM,200,1.0,20,202,40,0.975,0.0,0.025,39,0,1
RBOCPD_half_CUSUM,200,1.0,20,303,40,1.0,0.0,0.0,40,0,0
RBOCPD_half_CUSUM,200,2.0,20,101,40,0.95,0.0,0.05,38,0,2
RBOCPD_half_CUSUM,200,2.0,20,202,40,0.925,0.0,0.075,37,0,3
RBOCPD_half_CUSUM,200,2.0,20,303,40,0.95,0.0,0.05,38,0,2
RBOCPD_half_CUSUM,200,3.0,20,101,40,0.925,0.0,0.075,37,0,3
RBOCPD_half_CUSUM,200,3.0,20,202,40,0.925,0.0,0.075,37,0,3
RBOCPD_half_CUSUM,200,3.0,20,303,40,0.925,0.0,0.075,37,0,3
